,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10814,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19619956.0,19619956.0,False,,1,,,,2024-02-06T12:35:00.000Z,42792.66462476184,18444604262.329643,20.8639,0.06207982,-0.72349484,-1.44258826,-2.99224848,-2.02408261,21.09915125,839590197060.5839,51.1781,898645957120.0,,2024-02-06T12:35:00.000Z,,,,,,2024-02-06 18:06:32.547546
1,1027,Ethereum,ETH,ethereum,8380,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120183642.22685288,120183642.22685288,True,,2,,,,2024-02-06T12:35:00.000Z,2325.901354788784,7910976245.141218,18.0887,0.2144829,0.13501571,0.67120575,3.85722698,-1.65793839,23.43376514,279535296278.88763,17.0394,279535296278.89,,2024-02-06T12:35:00.000Z,,,,,,2024-02-06 18:06:32.547546
2,825,Tether USDt,USDT,tether,74184,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,96236495041.17906,99600769237.76942,True,,3,,,,2024-02-06T12:34:00.000Z,0.9989108605761897,30627750378.936672,15.9568,-0.0113927,-0.02281718,-0.09771771,-0.16948931,-0.13169012,-0.14450352,96131680080.4204,5.8598,99492290113.35,,2024-02-06T12:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-02-06 18:06:32.547546
3,1839,BNB,BNB,bnb,2053,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149546156.83354783,149546156.83354783,False,,4,,,,2024-02-06T12:34:00.000Z,302.320648639647,711016705.130809,-25.6373,0.21323896,-0.52488482,-2.49300064,-1.34465917,28.64007348,22.68329281,45210891135.48456,2.7559,45210891135.48,,2024-02-06T12:34:00.000Z,,,,,,2024-02-06 18:06:32.547546
4,5426,Solana,SOL,solana,625,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,436207136.8020971,568877625.8772024,True,,5,,,,2024-02-06T12:35:00.000Z,94.00962161817542,1637991389.0221932,10.4093,0.04809109,-3.53528057,-10.03880129,-0.97002902,28.06622274,117.78427562,41007667877.91283,2.4997,53479970355.76,,2024-02-06T12:35:00.000Z,,,,,,2024-02-06 18:06:32.547546
5,52,XRP,XRP,xrp,1226,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54436190886.0,99987935982.0,False,,6,,,,2024-02-06T12:35:00.000Z,0.5008371587781991,802430391.0003988,15.2499,-0.41034763,-0.76607224,-5.77052314,-11.66441857,-23.34839178,-27.74049453,27263667178.051937,1.6619,50083715877.82,,2024-02-06T12:35:00.000Z,,,,,,2024-02-06 18:06:32.547546
6,3408,USDC,USDC,usd-coin,16595,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,27028374829.881546,27028374829.881546,False,,7,,,,2024-02-06T12:35:00.000Z,1.0000255510943394,4345520751.121286,19.7635,-0.00564913,-0.00909317,-0.00478569,0.00644486,-0.01188879,-0.00032645,27029065434.436665,1.6476,27029065434.44,,2024-02-06T12:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-02-06 18:06:32.547546
7,2010,Cardano,ADA,cardano,1066,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35432672762.553,36599737145.585,False,,8,,,,2024-02-06T12:34:00.000Z,0.4917722983785999,274268891.57679343,7.1035,-0.27909282,-1.87252077,-6.56397193,-5.67531802,-4.72014542,38.44096789,17424806922.137505,1.0621,22129753427.04,,2024-02-06T12:34:00.000Z,,,,,,2024-02-06 18:06:32.547546
8,5805,Avalanche,AVAX,avalanche,660,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,367437497.90388566,435470407.90388566,False,,9,,,,2024-02-06T12:34:00.000Z,33.92613094126324,385096102.10056967,-10.7844,0.00921968,-4.26766332,-6.89753497,-2.57604109,23.76875393,165.10577113,12465732666.617361,0.7599,24426814277.71,,2024-02-06T12:34:00.000Z,,,,,,2024-02-06 18:06:32.547546
9,74,Dogecoin,DOGE,dogecoin,888,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142960656383.70526,142960656383.70526,True,,10,,,,2024-02-06T12:35:00.000Z,0.07797089438343592,206030415.85272107,-17.0797,-0.10214783,-2.19422476,-4.1380456,-2.74843506,-20.70540148,4.82729257,11146770239.880558,0.6795,11146770239.88,,2024-02-06T12:35:00.000Z,,,,,,2024-02-06 18:06:32.547546
